source_row_id,target_norm,match_method,match_score,score_margin
392,BUCKSNORT,exact,100.0,100.0
393,LOCK 5 VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
394,,unmatched,90.0,33.0
395,,unmatched,79.24528301886792,27.245283018867923
396,BROWNVILLE VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
397,CHISHOLM COMMUNITY CENTER,exact,100.0,100.0
398,BEXAR BEHIND OLD POST OF,fuzzy,95.0,50.0
399,SHOTTSVILLE FIRE DEPARTMENT,exact,100.0,100.0
400,,unmatched,90.0,38.71794871794872
401,BRILLIANT COMMUNITY CENTER,exact,100.0,100.0
402,GUIN CITY HALL,exact,100.0,100.0
403,,unmatched,95.0,3.8000000000000114
404,,unmatched,95.0,3.8000000000000114
405,,unmatched,85.5,0.0
406,,unmatched,90.0,29.999999999999993
407,,unmatched,90.0,34.61538461538461
408,YORK SUMTER RESCUE,exact,100.0,100.0
409,WARD COMMUNITY CENTER,exact,100.0,100.0
410,CROSSROADS CHURCH CHRIST,exact,100.0,100.0
411,NAUVOO CITY HALL,exact,100.0,100.0
412,TOWNLEY COMMUNITY CENTER,exact,100.0,100.0
413,,unmatched,85.5,0.0
414,ARGO FIRE DEPARTMENT,exact,100.0,100.0
415,,unmatched,79.53488372093024,3.534883720930239
416,SIPSEY COMMUNITY CENTER,exact,100.0,100.0
417,WESTSIDE BAPTIST,exact,100.0,100.0
418,PINEYWOODS FIRE DEPARTMENT,exact,100.0,100.0
419,,unmatched,81.42857142857142,4.401544401544399
420,RICES CHAPEL CHURCH,exact,100.0,100.0
421,MEADOWSMITH LIBRARY FRISCO,fuzzy,98.11320754716981,52.848501664816865
422,,unmatched,90.0,41.53846153846154
423,JASPER MALL,exact,100.0,100.0
424,HOLLINS COMMUNITY CENTER,exact,100.0,100.0
425,,unmatched,90.0,4.5
426,,unmatched,90.0,4.5
427,,unmatched,90.0,10.0
428,ASHLAND ARMORY,exact,100.0,100.0
429,,unmatched,85.5,0.0
430,,unmatched,90.0,4.5
431,BARFIELD VOLUNTEER FIRE,fuzzy,95.0,9.5
432,,unmatched,49.761904761904766,1.9358178053830244
433,SHINBONE VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
434,DELTA COMMUNITY CENTER,exact,100.0,100.0
435,,unmatched,90.0,36.0
436,INO SENIOR CENTER,exact,100.0,100.0
437,HOLLEY S STORE,exact,100.0,100.0
438,COOL SPRINGS,exact,100.0,100.0
439,DAMASCUS SENIOR CENTER,exact,100.0,100.0
440,YMCA,exact,100.0,100.0
441,,unmatched,90.0,4.5
442,JOHNS CHAPEL AME,exact,100.0,100.0
443,ZION CHRISTIAN COMMUNITY,fuzzy,95.0,9.5
444,ELBA RECREATION CENTER,exact,100.0,100.0
445,FELLOWSHIP BAPTIST,exact,100.0,100.0
446,MCCOO SCHOOL,exact,100.0,100.0
447,,unmatched,85.5,44.590909090909086
448,EUFAULA WATER BOARD,exact,100.0,100.0
449,BEVILL CENTER,exact,100.0,100.0
450,EUFAULA COMMUNITY CENTER,exact,100.0,100.0
451,MARGARET MURRAY WASH HALL,exact,100.0,100.0
452,NATIONAL GUARD ARMORY,exact,100.0,100.0
453,TUSKEGEE MUNICIPAL COMPLX,fuzzy,98.0392156862745,49.18207282913165
454,SOJOURNER COMMUNITY CENTER,exact,100.0,100.0
455,DISTRICT 4 RECREATION,fuzzy,95.0,15.833333333333343
456,MEMORIAL STADIUM,exact,100.0,100.0
457,,unmatched,85.5,17.64285714285714
458,CHRISTIAN OUTREACH ALLNCE,fuzzy,96.15384615384616,42.15384615384616
459,SELMA MALL,exact,100.0,100.0
460,,unmatched,77.02702702702702,15.488565488565477
461,TIPTON SCHOOL,exact,100.0,100.0
462,SELMONT WATER WORKS,exact,100.0,100.0
463,BELOIT COMMUNITY CENTER,exact,100.0,100.0
464,ORRVILLE COMMUNITY CENTER,exact,100.0,100.0
465,MOUNT ZION CHURCH,exact,100.0,100.0
466,VALLEY GRANDE COMMUNITY CENTER,exact,100.0,100.0
467,RANGEDALE CENTER,exact,100.0,100.0
468,,unmatched,85.5,0.0
469,,unmatched,86.85714285714286,44.63492063492064
470,SUMMERFIELD VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
471,LOWNDESBORO CME CHURCH,exact,100.0,100.0
472,,unmatched,87.6923076923077,35.07692307692308
473,,unmatched,90.0,48.69565217391305
474,,unmatched,68.29268292682926,14.6341463414634
